제품코드,제품명,업체명,규격,단위,상한금액,Group
651900330,루나팜정(플루니트라제팜)_(1mg/1정),명인제약(주),1,정,59,flunitrazepam   1mg
657200130,라제팜정(플루니트라제팜)_(1mg/1정),환인제약(주),1,정,60,flunitrazepam   1mg
657802870,하나페노바르비탈정_(30mg/1정),하나제약(주),1,정,32,phenobarbital   30mg
651901770,졸민정0.125밀리그람(트리아졸람)_(0.125mg/1정),명인제약(주),1,정,73,triazolam   0.125mg
657200830,트리람정0.25밀리그램(트리아졸람)_(0.25mg/1정),환인제약(주),1,정,121,triazolam   0.25mg
651901780,졸민정0.25밀리그램(트리아졸람)_(0.25mg/1정),명인제약(주),1,정,121,triazolam   0.25mg
651901790,졸피신정10mg(졸피뎀타르타르산염)_(10mg/1정),명인제약(주),1,정,122,zolpidem tartrate   10mg
649806810,스틸렉스정10밀리그램(졸피뎀타르타르산염)_(10mg/1정),명문제약(주),1,정,148,zolpidem tartrate   10mg
657200670,졸피람정10밀리그램(졸피뎀타르타르산염)_(10mg/1정),환인제약(주),1,정,154,zolpidem tartrate   10mg
653003460,파마주석산졸피뎀정(졸피뎀타르타르산염)_(10mg/1정),(주)한국파마,1,정,159,zolpidem tartrate   10mg
668100180,산도스졸피뎀정10mg(주석산졸피뎀)_(10mg/1정),한국산도스(주),1,정,169,zolpidem tartrate   10mg
652100640,스틸녹스정10밀리그램(졸피뎀타르타르산염)_(10mg/1정),(주)한독,1,정,173,zolpidem tartrate   10mg
642801200,졸피움정(졸피뎀타르타르산염)_(10mg/1정),고려제약(주),1,정,173,zolpidem tartrate   10mg
643502320,졸피드정10밀리그램(졸피뎀타르타르산염)_(10mg/1정),한미약품(주),1,정,174,zolpidem tartrate   10mg
649507420,스립정10밀리그램(졸피뎀타르타르산염)_(10mg/1정),유니메드제약(주),1,정,174,zolpidem tartrate   10mg
652100660,스틸녹스CR정6.25밀리그램(졸피뎀타르타르산염)_(6.25mg/1정),(주)한독,1,정,319,zolpidem tartrate   6.25mg
652100650,스틸녹스CR정12.5밀리그램(졸피뎀타르타르산염)_(12.5mg/1정),(주)한독,1,정,321,zolpidem tartrate   12.5mg
651904900,조스정1밀리그램(에스조피클론)_(1mg/1정),명인제약(주),1,정,70,eszopiclone   1mg
651901860,카마제핀정(카르바마제핀)_(0.2g/1정),명인제약(주),1,정,99,carbamazepine   0.2g
653601130,테그레톨정200밀리그램(카르바마제핀)_(0.2g/1정),한국노바티스(주),1,정,172,carbamazepine   0.2g
